crop,horizon,model,task,support_positive,support_total,accuracy,precision,recall,f1_score,tn,fp,fn,tp
cauliflower,20,ann,target_rise_ge_5pct_h20,644,1548,0.6866925064599483,0.6480446927374302,0.5403726708074534,0.5893310753598645,715,189,296,348
cauliflower,20,ridge,target_up_h20,736,1548,0.7577519379844961,0.7203907203907204,0.8016304347826086,0.7588424437299035,583,229,146,590
cauliflower,20,random_forest,target_up_h20,736,1548,0.7454780361757106,0.713216957605985,0.7771739130434783,0.7438231469440832,582,230,164,572
cauliflower,20,xgboost,target_up_h20,736,1548,0.7332041343669251,0.6915776986951364,0.7921195652173914,0.7384420519316023,552,260,153,583
cauliflower,20,lightgbm,target_up_h20,736,1548,0.7357881136950905,0.6986634264884569,0.78125,0.7376523412443874,564,248,161,575
cauliflower,20,ann,target_up_h20,736,1548,0.6698966408268734,0.6878130217028381,0.5597826086956522,0.6172284644194757,625,187,324,412
green_onion,1,ridge,target_rise_ge_10pct_h1,261,1587,0.8500315059861374,0.5672514619883041,0.3716475095785441,0.44907407407407407,1252,74,164,97
green_onion,1,xgboost,target_rise_ge_10pct_h1,261,1587,0.8399495904221802,0.5177664974619289,0.39080459770114945,0.44541484716157204,1231,95,159,102
green_onion,1,lightgbm,target_rise_ge_10pct_h1,261,1587,0.8216761184625079,0.4525862068965517,0.40229885057471265,0.4259634888438134,1199,127,156,105
green_onion,1,random_forest,target_rise_ge_10pct_h1,261,1587,0.8645242596093258,0.7053571428571429,0.30268199233716475,0.42359249329758714,1293,33,182,79
green_onion,1,ann,target_rise_ge_10pct_h1,261,1587,0.7492123503465659,0.24344569288389514,0.24904214559386972,0.24621212121212122,1124,202,196,65
green_onion,1,ridge,target_rise_ge_5pct_h1,438,1587,0.7504725897920604,0.5573770491803278,0.4657534246575342,0.5074626865671642,987,162,234,204
green_onion,1,xgboost,target_rise_ge_5pct_h1,438,1587,0.720226843100189,0.49330357142857145,0.5045662100456622,0.49887133182844245,922,227,217,221
green_onion,1,lightgbm,target_rise_ge_5pct_h1,438,1587,0.7126654064272212,0.48008849557522126,0.4954337899543379,0.48764044943820223,914,235,221,217
green_onion,1,random_forest,target_rise_ge_5pct_h1,438,1587,0.739760554505356,0.5435540069686411,0.3561643835616438,0.4303448275862069,1018,131,282,156
green_onion,1,ann,target_rise_ge_5pct_h1,438,1587,0.6572148708254568,0.3502824858757062,0.2831050228310502,0.31313131313131315,919,230,314,124
green_onion,1,lightgbm,target_up_h1,808,1587,0.6370510396975425,0.6336405529953917,0.6806930693069307,0.6563245823389021,461,318,258,550
green_onion,1,random_forest,target_up_h1,808,1587,0.6339004410838059,0.6382460414129111,0.6485148514851485,0.6433394720687539,482,297,284,524
green_onion,1,xgboost,target_up_h1,808,1587,0.6187775677378702,0.6162657502863689,0.6658415841584159,0.6400951814396193,444,335,270,538
green_onion,1,ridge,target_up_h1,808,1587,0.6225582860743542,0.6414073071718539,0.5866336633663366,0.6127989657401423,514,265,334,474
green_onion,1,ann,target_up_h1,808,1587,0.6055450535601764,0.6872427983539094,0.41336633663366334,0.5162287480680062,627,152,474,334
green_onion,5,xgboost,target_rise_ge_10pct_h5,360,1587,0.775047258979206,0.5049180327868853,0.42777777777777776,0.4631578947368421,1076,151,206,154
green_onion,5,lightgbm,target_rise_ge_10pct_h5,360,1587,0.7460617517328293,0.44386422976501305,0.4722222222222222,0.4576043068640646,1014,213,190,170
green_onion,5,random_forest,target_rise_ge_10pct_h5,360,1587,0.7611846250787649,0.4664310954063604,0.36666666666666664,0.4105754276827372,1076,151,228,132
green_onion,5,ridge,target_rise_ge_10pct_h5,360,1587,0.7655954631379962,0.47540983606557374,0.32222222222222224,0.3841059602649007,1099,128,244,116
green_onion,5,ann,target_rise_ge_10pct_h5,360,1587,0.7385003150598614,0.35294117647058826,0.18333333333333332,0.2413162705667276,1106,121,294,66
